distance	scattering length real	scattering length imag
1.071211336510464e3	-1.5511954610129278e1	6.263207397779598e-13
1.071211336510464e3	-1.5511954610129278e1	6.263207397779598e-13
1.071211336510464e3	-1.5511954610129278e1	6.263207397779598e-13
1.071211336510464e3	-1.5511954610129278e1	6.263207397779598e-13
1.071211336510464e3	-1.5511954610129278e1	6.263207397779598e-13
1.071211336510464e3	-1.5511954610129278e1	6.263207397779598e-13
1.184890265146908e3	-1.551424797756458e1	1.4483566280325942e-13
1.184890265146908e3	-1.551424797756458e1	1.4483566280325942e-13
1.184890265146908e3	-1.551424797756458e1	1.4483566280325942e-13
1.184890265146908e3	-1.551424797756458e1	1.4483566280325942e-13
1.184890265146908e3	-1.551424797756458e1	1.4483566280325942e-13
1.184890265146908e3	-1.551424797756458e1	1.4483566280325942e-13
1.184890265146908e3	-1.551424797756458e1	1.4483566280325942e-13
1.184890265146908e3	-1.551424797756458e1	1.4483566280325942e-13
1.184890265146908e3	-1.551424797756458e1	1.4483566280325942e-13
1.184890265146908e3	-1.551424797756458e1	1.4483566280325942e-13
1.184890265146908e3	-1.551424797756458e1	1.4483566280325942e-13
1.298569193783352e3	-1.551576684076589e1	2.4599962283915675e-13
1.298569193783352e3	-1.551576684076589e1	2.4599962283915675e-13
1.298569193783352e3	-1.551576684076589e1	2.4599962283915675e-13
1.298569193783352e3	-1.551576684076589e1	2.4599962283915675e-13
1.298569193783352e3	-1.551576684076589e1	2.4599962283915675e-13
1.298569193783352e3	-1.551576684076589e1	2.4599962283915675e-13
1.298569193783352e3	-1.551576684076589e1	2.4599962283915675e-13
1.298569193783352e3	-1.551576684076589e1	2.4599962283915675e-13
1.298569193783352e3	-1.551576684076589e1	2.4599962283915675e-13
1.298569193783352e3	-1.551576684076589e1	2.4599962283915675e-13
1.298569193783352e3	-1.551576684076589e1	2.4599962283915675e-13
1.412248122419796e3	-1.5516812641075571e1	-1.1005095639070778e-14
1.412248122419796e3	-1.5516812641075571e1	-1.1005095639070778e-14
1.412248122419796e3	-1.5516812641075571e1	-1.1005095639070778e-14
1.412248122419796e3	-1.5516812641075571e1	-1.1005095639070778e-14
1.412248122419796e3	-1.5516812641075571e1	-1.1005095639070778e-14
1.412248122419796e3	-1.5516812641075571e1	-1.1005095639070778e-14
