energy	bound difference	node count
-1.886777355471094e2	1.0584556015707012e0	2e0
-1.886377275455091e2	1.0535696461332789e0	2e0
-1.8859771954390877e2	1.0461246859720637e0	2e0
-1.8855771154230845e2	1.062850313952372e0	2e0
-1.8851770354070814e2	1.077330825840996e0	2e0
-1.884776955391078e2	1.072162161078835e0	2e0
-1.884376875375075e2	1.089202198958001e0	2e0
-1.8839767953590717e2	1.0891433003677797e0	2e0
-1.8835767153430686e2	1.0838132910689304e0	2e0
-1.8831766353270652e2	1.101065744386593e0	2e0
-1.8827765553110623e2	1.1010279818273014e0	2e0
-1.882376475295059e2	1.0955347663008665e0	2e0
-1.8819763952790555e2	1.113001936349467e0	2e0
-1.8815763152630527e2	1.1129854555865206e0	2e0
-1.8811762352470492e2	1.1279647987887251e0	2e0
-1.880776155231046e2	1.1400264350450262e0	2e0
-1.880376075215043e2	1.1400669150316511e0	2e0
-1.8799759951990399e2	1.1401237314122235e0	2e0
-1.8795759151830364e2	1.152216704145425e0	2e0
-1.8791758351670333e2	1.1522791837710031e0	2e0
-1.8787757551510302e2	1.1523580479749973e0	2e0
-1.8783756751350268e2	1.1644826722442825e0	2e0
-1.877975595119024e2	1.1645673050663294e0	2e0
-1.8775755151030205e2	1.1646683759170178e0	2e0
-1.8771754350870174e2	1.1801800760517418e0	2e0
-1.8767753550710142e2	1.1923636074719512e0	2e0
-1.8763752750550108e2	1.192524680261307e0	2e0
-1.8759751950390077e2	1.1927023756644508e0	2e0
-1.8755751150230046e2	1.2049186835824717e0	2e0
-1.8751750350070014e2	1.2051027389586673e0	2e0
-1.874774954990998e2	1.2053034709529589e0	2e0
-1.874374874974995e2	1.2175528865542171e0	2e0
-1.8739747949589918e2	1.2177600932635437e0	2e0
-1.8735747149429884e2	1.233783967583769e0	2e0
-1.8731746349269855e2	1.2461064012707697e0	2e0
-1.872774554910982e2	1.2463766714288476e0	2e0
-1.872374474894979e2	1.2466638953650204e0	2e0
-1.8719743948789755e2	1.2590205781516122e0	2e0
-1.8715743148629724e2	1.2553085855465145e0	2e0
-1.8711742348469693e2	1.2556096930590563e0	2e0
-1.870774154830966e2	1.2519277248230152e0	2e0
