mass scale factor	scattering length real	scattering length imag
8.908908908908909e-1	7.185963953247312e1	1.5654413917483876e-14
8.912912912912914e-1	7.132205316594728e1	-2.841108882882336e-13
8.916916916916917e-1	7.07932631515105e1	5.655015466743865e-13
8.920920920920921e-1	7.027300758827839e1	7.371447193850489e-13
8.924924924924925e-1	6.976103164306538e1	9.26163088091721e-13
8.92892892892893e-1	6.925708885679185e1	8.173037674441864e-13
8.932932932932933e-1	6.876094502955118e1	2.7073215993967293e-13
8.936936936936937e-1	6.827237249406465e1	2.9421368399177984e-14
8.940940940940941e-1	6.779115280423181e1	1.130612987175771e-12
8.944944944944945e-1	6.73170743906603e1	-3.984650826947083e-13
8.948948948948949e-1	6.684993578110524e1	4.797345424717115e-13
8.952952952952953e-1	6.638953756856401e1	7.030035916390776e-13
8.956956956956957e-1	6.593569468915602e1	3.0614845654586397e-13
8.960960960960961e-1	6.548822265028846e1	-5.260589838052969e-13
8.964964964964965e-1	6.504694541736337e1	-1.149235907701139e-12
8.968968968968969e-1	6.461169273464473e1	-3.246615131861101e-13
8.972972972972973e-1	6.418230197734503e1	-1.0688819894977388e-13
8.976976976976977e-1	6.375861215806408e1	2.0356216912496794e-13
8.980980980980982e-1	6.334047150212107e1	6.946759054599676e-13
8.984984984984985e-1	6.292773005109264e1	4.836750951646983e-13
8.98898898898899e-1	6.2520246309003966e1	-3.8797253292386713e-13
8.992992992992993e-1	6.2117879288393766e1	1.174242617405792e-12
8.996996996996998e-1	6.172049651070221e1	3.11671352625901e-13
9.001001001001001e-1	6.1327966269539495e1	4.262755261230797e-13
9.005005005005006e-1	6.094016257209861e1	3.068972370361494e-13
9.009009009009009e-1	6.055696413785057e1	-4.0898345877449436e-13
9.013013013013014e-1	6.0178252248991505e1	-6.709159617546611e-13
9.017017017017017e-1	5.98039118507027e1	-8.093623443784644e-14
9.021021021021021e-1	5.9433832801773406e1	-1.1461523955135994e-12
9.025025025025025e-1	5.90679054907795e1	-6.171524899475413e-13
9.02902902902903e-1	5.870602553517372e1	-8.046434991121629e-13
9.033033033033033e-1	5.834809289578702e1	3.7914552256669685e-14
9.037037037037037e-1	5.7994007594604064e1	-1.558770841286568e-13
9.041041041041041e-1	5.7643674711342705e1	9.544416995826618e-13
9.045045045045045e-1	5.729700127766988e1	-7.111057425673665e-14
9.049049049049049e-1	5.695389513215541e1	-9.470306337857509e-13
9.053053053053053e-1	5.6614270621118884e1	5.795427065585865e-14
9.057057057057057e-1	5.6278041236711125e1	-4.890029760859717e-13
9.061061061061061e-1	5.5945124011177505e1	3.9965677118826277e-13
9.065065065065065e-1	5.5615439181766384e1	-4.358503732904799e-13
9.069069069069069e-1	5.528890689362588e1	3.1217019481197226e-13
9.073073073073074e-1	5.496545125892447e1	-5.722148116906811e-13
9.077077077077077e-1	5.464499819938973e1	-4.2385969087782186e-13
9.081081081081082e-1	5.432747469647967e1	7.735834005203144e-13
9.085085085085085e-1	5.401281097687798e1	-7.506014699894554e-13
9.08908908908909e-1	5.3700937481750344e1	-7.042213661789534e-13
9.093093093093093e-1	5.339178780393171e1	2.494140198440452e-13
9.097097097097098e-1	5.308529722902842e1	-1.1407650925275194e-13
9.101101101101101e-1	5.2781400366998675e1	-1.1751822124925834e-13
9.105105105105106e-1	5.248003681642731e1	-7.788842660142064e-13
9.109109109109109e-1	5.218114584857765e1	2.0053589357773504e-13
9.113113113113114e-1	5.1884666753741e1	-6.990583398276366e-13
9.117117117117117e-1	5.1590545012913786e1	-6.860962987003614e-13
9.121121121121121e-1	5.129872022339398e1	-7.063024715717423e-13
9.125125125125125e-1	5.100914120339372e1	3.1250280013057396e-13
9.12912912912913e-1	5.072175409897262e1	-2.172170423025618e-13
