position	channel_1	channel_2
9.082124205490537e0	-8.291750603394282e-42	-4.933379102069826e-44
9.11149259879982e0	-7.689250997589009e-42	-5.165649732781067e-44
9.140860992109104e0	-6.931241811634044e-42	-5.306579903972934e-44
9.170229385418388e0	-6.033457863977418e-42	-5.349725407300304e-44
9.199597778727671e0	-5.014424102698475e-42	-5.290376894822045e-44
9.228966172036955e0	-3.8950220550347766e-42	-5.125715837063992e-44
9.258334565346239e0	-2.6980104235253908e-42	-4.854931598096947e-44
9.287702958655522e0	-1.4475129297764744e-42	-4.479296445781201e-44
9.317071351964806e0	-1.684868243873397e-43	-4.002196355506009e-44
9.34643974527409e0	1.113814587981824e-42	-3.4291165472847914e-44
9.375808138583373e0	2.374372489211296e-42	-2.767581788464727e-44
9.405176531892657e0	3.588913988836737e-42	-2.0270525679535074e-44
9.43454492520194e0	4.734393335626907e-42	-1.218779274850084e-44
9.463913318511224e0	5.789433037458546e-42	-3.556174692783717e-45
9.493281711820508e0	6.73471647657197e-42	5.481918063123944e-45
9.522650105129792e0	7.553325185296865e-42	1.477271979902985e-44
9.552018498439075e0	8.231015602038992e-42	2.415385852208208e-44
9.581386891748359e0	8.75643180875849e-42	3.3457296540273533e-44
9.610755285057643e0	9.12125241284156e-42	4.2512401298916516e-44
9.640123678366926e0	9.32027133614738e-42	5.114908333392465e-44
9.66949207167621e0	9.351413775430692e-42	5.920093780829453e-44
9.698860464985493e0	9.215689970454172e-42	6.65083271329251e-44
9.728228858294777e0	8.917090634354238e-42	7.29213445484221e-44
9.75759725160406e0	8.462428946849237e-42	7.830260215055509e-44
9.786965644913344e0	7.861134872554365e-42	8.25297915446279e-44
9.816334038222628e0	7.125008237779055e-42	8.549797096053725e-44
9.845702431531912e0	6.26793747892423e-42	8.712153908377969e-44
9.875070824841195e0	5.3055912681751834e-42	8.733586288289997e-44
9.904439218150479e0	4.255090336092573e-42	8.609853416162824e-44
9.933807611459763e0	3.1346667580524847e-42	8.339023725528988e-44
9.963176004769046e0	1.963317767389338e-42	7.921521805260777e-44
9.99254439807833e0	7.604608198755478e-43	7.360135219054971e-44
1.0021912791387614e1	-4.544038192715754e-43	6.659981768822473e-44
1.0051281184696897e1	-1.6620172435030636e-42	5.828438431745576e-44
1.0080649578006181e1	-2.8436677299052848e-42	4.875033853066589e-44
1.0110017971315465e1	-3.98147380214455e-42	3.8113068677218133e-44
1.0139386364624748e1	-5.0586408279390197e-42	2.6506340453078966e-44
1.0168754757934032e1	-6.059688180856991e-42	1.408029698040105e-44
1.0198123151243315e1	-6.970644730515243e-42	9.992215584089895e-46
1.02274915445526e1	-7.779211145333936e-42	-1.2560896061793348e-44
1.0256859937861883e1	-8.474888184557617e-42	-2.6414947055769815e-44
1.0286228331171166e1	-9.049070809788068e-42	-4.0371400597148976e-44
1.031559672448045e1	-9.495108551336139e-42	-5.423506633114323e-44
1.0344965117789734e1	-9.808333113743057e-42	-6.780987839830407e-44
1.0374333511099017e1	-9.986054692284897e-42	-8.090165831402239e-44
1.0403701904408301e1	-1.0027528894350454e-41	-9.332081582448757e-44
1.0433070297717585e1	-9.933896514235083e-42	-1.0488494926404893e-43
1.0462438691026868e1	-9.708098696625661e-42	-1.1542130985729677e-43
1.0491807084336152e1	-9.354770243743714e-42	-1.2476909776231129e-43
1.0521175477645436e1	-8.880113975914115e-42	-1.3278156135799598e-43
1.055054387095472e1	-8.291759148383239e-42	-1.3932787525579982e-43
1.0579912264264003e1	-7.59860696255873e-42	-1.4429477668315364e-43
1.0609280657573287e1	-6.810666192181802e-42	-1.4758794416343775e-43
1.063864905088257e1	-5.938881879499434e-42	-1.4913310672998672e-43
1.0668017444191854e1	-4.9949599488396626e-42	-1.488768761886961e-43
1.0697385837501137e1	-3.99119044086689e-42	-1.4678729911989549e-43
1.0726754230810421e1	-2.940271896035652e-42	-1.4285412932619457e-43
1.0756122624119705e1	-1.8551392161698165e-42	-1.3708882523741415e-43
1.0785491017428988e1	-7.487971142552007e-43	-1.2952428033076147e-43
1.0814859410738272e1	3.658389701672928e-43	-1.2021429787651872e-43
1.0844227804047556e1	1.4760928541245928e-42	-1.0923282424652653e-43
1.087359619735684e1	2.569667102602931e-42	-9.667295760151174e-44
1.0902964590666123e1	3.634770883461948e-42	-8.264575098753474e-44
1.0932332983975407e1	4.6602352826791336e-42	-6.727883071258515e-44
1.096170137728469e1	5.635615410984851e-42	-5.07148523385e-44
1.0991069770593974e1	6.551278857016355e-42	-3.3109817713825427e-44
1.1020438163903258e1	7.398480253583781e-42	-1.4631277198352071e-44
1.1049806557212541e1	8.169421920548162e-42	4.5435583971489336e-45
1.1097530196340145e1	9.242434979554348e-42	3.6708812643797265e-44
1.115626698295874e1	1.0228551371746139e-41	7.69305917878576e-44
1.1215003769577336e1	1.0819734214967353e-41	1.1638553657323495e-43
1.1273740556195932e1	1.1004286780390048e-41	1.535344633217256e-43
1.1332477342814528e1	1.0786323502669276e-41	1.86920877456977e-43
1.1391214129433124e1	1.0184403746986665e-41	2.1522411399802543e-43
1.144995091605172e1	9.22973936401834e-42	2.3730478661063848e-43
1.1508687702670315e1	7.964100491207183e-42	2.5224127305078546e-43
1.156742448928891e1	6.437539182238196e-42	2.593564472068131e-43
1.1626161275907506e1	4.706041008352727e-42	2.5823433178150645e-43
1.1684898062526102e1	2.8292020406476515e-42	2.4872677248863566e-43
1.1743634849144698e1	8.680137724072022e-43	2.3095061040790182e-43
1.1802371635763294e1	-1.1171773736080916e-42	2.052761441675381e-43
1.186110842238189e1	-3.068485390305231e-42	1.723079223735665e-43
1.1919845209000485e1	-4.932039843880646e-42	1.3285908738604928e-43
1.197858199561908e1	-6.65926020742487e-42	8.792060558613072e-44
1.2037318782237676e1	-8.207841618599726e-42	3.8626770750201947e-44
1.2096055568856272e1	-9.542455420566775e-42	-1.3781637853245903e-44
1.2154792355474868e1	-1.0635177054622614e-41	-6.799521497129595e-44
1.2213529142093464e1	-1.1465661157731237e-41	-1.2267357328119006e-43
1.227226592871206e1	-1.2021089140025e-41	-1.7648166473325624e-43
1.2331002715330655e1	-1.2295918202000727e-41	-2.2812382156677184e-43
1.238973950194925e1	-1.229146286940155e-41	-2.7637472312948596e-43
1.2448476288567846e1	-1.2015340874931128e-41	-3.2010666551016277e-43
1.2507213075186442e1	-1.148081481356888e-41	-3.5831268206058797e-43
1.2565949861805038e1	-1.0706059658464447e-41	-3.901252283265101e-43
1.2624686648423634e1	-9.71338415666192e-42	-4.14830299967249e-43
1.268342343504223e1	-8.528431524221883e-42	-4.3187699322664156e-43
1.2712791828351527e1	-7.872579931190637e-42	-4.374022396325722e-43
1.2771528614970123e1	-6.452628931168848e-42	-4.422968086772515e-43
1.2830265401588719e1	-4.913919187159061e-42	-4.388927975304059e-43
1.2889002188207314e1	-3.2876610903750154e-42	-4.272239685885289e-43
1.294773897482591e1	-1.6050744340333822e-42	-4.074796517935905e-43
1.3006475761444506e1	1.03207963487229e-43	-3.7999401589327644e-43
1.3065212548063101e1	1.80766704189928e-42	-3.4523303118550026e-43
1.3123949334681697e1	3.48035140399635e-42	-3.037796118882112e-43
1.3182686121300293e1	5.095257212871843e-42	-2.563174195824475e-43
1.3241422907918889e1	6.628634805036212e-42	-2.0361379092910706e-43
1.3300159694537484e1	8.059224294778492e-42	-1.4650222509996308e-43
1.335889648115608e1	9.368423704571348e-42	-8.586483111305534e-44
1.3417633267774676e1	1.0540394139583104e-41	-2.2615094459972277e-44
1.3476370054393271e1	1.1562107252390672e-41	4.2318722131364924e-44
1.3535106841011867e1	1.2423340741074557e-41	1.0800927559104262e-43
1.3593843627630463e1	1.3116627916173786e-41	1.7354471611745249e-43
1.3652580414249059e1	1.3637167486459915e-41	2.3804196319267207e-43
1.3711317200867654e1	1.3982699676970553e-41	3.0065855462532843e-43
1.377005398748625e1	1.4153354631097706e-41	3.606029816191384e-43
1.3828790774104846e1	1.415147878617412e-41	4.1714346201557496e-43
1.3887527560723441e1	1.3981444571573107e-41	4.6961513929794096e-43
1.3946264347342037e1	1.3649448380290841e-41	5.174257263504223e-43
1.4005001133960633e1	1.316330132750613e-41	5.6005964016479975e-43
1.4063737920579229e1	1.2532216848669016e-41	5.970806966355662e-43
1.4122474707197824e1	1.1766598718887337e-41	6.281334533456665e-43
1.418121149381642e1	1.0877832606224729e-41	6.529433029755852e-43
1.4254632477089658e1	9.612289636994865e-42	6.748871792843351e-43
1.437210605032682e1	7.28955207864148e-42	6.886291279711696e-43
1.4489579623563984e1	4.693518345758525e-42	6.76234640712532e-43
1.4607053196801147e1	1.9310658861275872e-42	6.388273994689648e-43
1.472452677003831e1	-8.946264906595278e-43	5.784128157873214e-43
1.4842000343275473e1	-3.6875233527872343e-42	4.976975999846504e-43
1.4959473916512636e1	-6.36130733622337e-42	3.999045049553968e-43
1.5076947489749799e1	-8.84114261118575e-42	2.8859227487548e-43
1.5194421062986962e1	-1.1064712098764781e-41	1.674884683748921e-43
1.5311894636224125e1	-1.2982628317972364e-41	4.0340553243688544e-44
1.5429368209461288e1	-1.4558323706409419e-41	-8.921138922821136e-44
1.554684178269845e1	-1.5767525440247576e-41	-2.1773878133051887e-43
1.5664315355935614e1	-1.6597414105354328e-41	-3.4210536215693383e-43
1.5781788929172777e1	-1.7045556675313004e-41	-4.5952568569202635e-43
1.589926250240994e1	-1.7118693465952997e-41	-5.67603095260221e-43
1.6016736075647106e1	-1.6831447103182749e-41	-6.643494906923189e-43
1.6134209648884298e1	-1.6205009844546534e-41	-7.481894930229603e-43
1.625168322212149e1	-1.5265854393739573e-41	-8.179517081796565e-43
1.636915679535868e1	-1.4044503014069504e-41	-8.728497397841472e-43
1.6486630368595872e1	-1.2574380505389182e-41	-9.124554423125889e-43
1.6604103941833063e1	-1.0890768567843643e-41	-9.366666749434913e-43
1.6721577515070255e1	-9.029872257708587e-42	-9.456715432385825e-43
1.6839051088307446e1	-7.028003607254061e-42	-9.399108242527566e-43
1.6956524661544638e1	-4.9208829526010104e-42	-9.20039979071088e-43
1.707399823478183e1	-2.743054986413912e-42	-8.868918784054856e-43
1.719147180801902e1	-5.2741390844151026e-43	-8.414411107030603e-43
1.7308945381256212e1	1.6951698351505266e-42	-7.847705136081724e-43
1.7426418954493403e1	3.8961299721076624e-42	-7.180403711437612e-43
1.7543892527730595e1	6.049401441594564e-42	-6.424605510605722e-43
1.7661366100967786e1	8.131543787948663e-42	-5.592657183400727e-43
1.7778839674204978e1	1.0121800595601097e-41	-4.696936496954544e-43
1.789631324744217e1	1.2002104340523671e-41	-3.749665873484336e-43
1.8028471017334002e1	1.3966919387217587e-41	-2.6371807009953608e-43
1.826341816380833e1	1.7014480205387072e-41	-5.855986403942327e-44
1.8498365310282654e1	1.9434126740878972e-41	1.4895713895202965e-43
1.873331245675698e1	2.1188618144154826e-41	3.515238451768987e-43
1.8968259603231306e1	2.2270019697240117e-41	5.430359363675418e-43
1.9203206749705632e1	2.2694286805941473e-41	7.18611449754221e-43
1.943815389617996e1	2.2496010999555302e-41	8.745445095986711e-43
1.9673101042654284e1	2.1723573090627125e-41	1.008216147457436e-42
1.990804818912861e1	2.0434845549456822e-41	1.1179790804831608e-42
2.0142995335602937e1	1.869350881954939e-41	1.2030295055009408e-42
2.0377942482077263e1	1.656599112396806e-41	1.263275614464251e-42
2.061288962855159e1	1.411900421855323e-41	1.29920971995531e-42
2.0847836775025915e1	1.1417624583659553e-41	1.3117885972578166e-42
2.108278392150024e1	8.523857183158146e-42	1.3023248599499554e-42
2.1317731067974567e1	5.495614184498775e-42	1.2723908267991049e-42
2.1552678214448893e1	2.3860415298029264e-42	1.2237353404513698e-42
2.178762536092322e1	-7.56869885059547e-43	1.1582132959761875e-42
2.2022572507397545e1	-3.890445822811318e-42	1.0777271685212527e-42
2.225751965387187e1	-6.97731369588529e-42	9.841795407177487e-43
2.2492466800346197e1	-9.985254443984877e-42	8.794354770012652e-43
2.2756782340129813e1	-1.324102212368005e-41	7.504512726096298e-43
2.3226676633078466e1	-1.8602085495924447e-41	4.992142909208766e-43
2.3696570926027118e1	-2.3312252544219767e-41	2.302271689616952e-43
2.416646521897577e1	-2.7297438301320765e-41	-4.611571554149999e-44
2.463635951192442e1	-3.052689200844666e-41	-3.2132785703747e-43
2.5106253804873074e1	-3.30025676817798e-41	-5.887198191099691e-43
2.5576148097821726e1	-3.4750023506172986e-41	-8.432138898913008e-43
2.6046042390770378e1	-3.58109446678651e-41	-1.0811263231577146e-42
2.651593668371903e1	-3.623720420253898e-41	-1.2999444168437116e-42
2.6985830976667682e1	-3.608628657312862e-41	-1.4981148765440402e-42
2.7455725269616334e1	-3.5417865200069233e-41	-1.674852397426918e-42
2.7925619562564986e1	-3.4291324682931653e-41	-1.8299723911523366e-42
2.8395513855513638e1	-3.2764035565237213e-41	-1.9637486061649683e-42
2.9129723688245907e1	-2.9702982636361224e-41	-2.1315866016086238e-42
3.006951227414321e1	-2.48450021075349e-41	-2.2782220262630326e-42
3.1009300860040515e1	-1.9236601394598068e-41	-2.356603838606608e-42
3.194908944593782e1	-1.3143740415794824e-41	-2.3762174596559347e-42
3.288887803183513e1	-6.77279777799891e-42	-2.3462479580996202e-42
3.382866661773243e1	-2.7985332186262226e-43	-2.275108358218895e-42
3.4768455203629735e1	6.219914769613162e-42	-2.170236968539863e-42
3.570824378952704e1	1.2643722407536769e-41	-2.038054050272268e-42
3.729413702822874e1	2.3160353114815007e-41	-1.7678202054543476e-42
3.917371420002335e1	3.4924831252698974e-41	-1.394500813929608e-42
4.1053291371817956e1	4.584075151222755e-41	-9.862964709837269e-43
4.2932868543612564e1	5.591168810310215e-41	-5.593612204587369e-43
4.481244571540717e1	6.519264369417703e-41	-1.241928619936776e-43
4.798423219281057e1	7.927918427948808e-41	6.115015764058087e-43
5.174338653639979e1	9.387423229550525e-41	1.4675124149322154e-42
5.5502540879989006e1	1.0672354178945357e-40	2.297093992385206e-42
6.1376219541847156e1	1.2431662462052346e-40	3.5388457116526553e-42
6.88945282290256e1	1.4394966764221109e-40	5.046626713066224e-42
8.111177984569055e1	1.7203440086246588e-40	7.362262349973413e-42
1.0178712873543124e2	2.1478735074615374e-40	1.1077397111289916e-41
