mass scale factor	scattering length real	scattering length imag
1.1758793969849246e0	1.166308508537911e1	1.3293766459160837e-12
1.177889447236181e0	9.923980452138698e0	2.2497378375188388e-13
1.1798994974874373e0	8.091514091975437e0	9.450915023199246e-13
1.1819095477386934e0	6.152871707095343e0	1.183428554631545e-14
1.1839195979899497e0	4.093026963870744e0	4.492448415607331e-13
1.185929648241206e0	1.894185101172632e0	-5.015216024687477e-13
1.1879396984924624e0	-4.649031123075922e-1	-6.318563689852828e-13
1.1899497487437185e0	-3.009879959577423e0	-1.377208624426396e-12
1.1919597989949748e0	-5.7720135798545105e0	8.552734452932362e-13
1.1939698492462312e0	-8.789902855926963e0	3.607705665731144e-13
1.1959798994974875e0	-1.2111815831741051e1	-1.48194054974128e-13
1.1979899497487438e0	-1.5799029555711973e1	6.9547917992415e-13
1.2e0	-1.9930187747996087e1	9.083583529556912e-13
