energy	bound difference	node count
-1.4509018036072145e0	1.4129092434822786e-3	1.6e1
-1.4468937875751504e0	1.4830215257658152e-3	1.6e1
-1.442885771543086e0	1.6311517542814242e-3	1.6e1
-1.4388777555110221e0	1.6651052244681594e-3	1.6e1
-1.4348697394789578e0	1.720831934132281e-3	1.6e1
-1.4308617234468939e0	1.7584400998965554e-3	1.6e1
-1.4268537074148298e0	2.1537287015374953e-3	1.6e1
-1.4228456913827656e0	2.4523159051138242e-3	1.6e1
-1.4188376753507015e0	2.084824158564513e-3	1.6e1
-1.4148296593186371e0	2.6333756804917084e-3	1.6e1
-1.4108216432865732e0	2.884287919922096e-3	1.6e1
-1.406813627254509e0	2.9842358913716397e-3	1.6e1
-1.402805611222445e0	4.143089785267628e-3	1.6e1
-1.3987975951903808e0	4.34202041697174e-3	1.6e1
-1.3947895791583167e0	3.363564646350122e-3	1.6e1
-1.3907815631262526e0	4.069574949689896e-3	1.6e1
-1.3867735470941882e0	6.3664259872610665e-3	1.6e1
-1.3827655310621243e0	6.818297528441111e-3	1.6e1
-1.3787575150300602e0	7.33473424583439e-3	1.6e1
-1.3747494989979963e0	1.8842338099817446e-2	1.7e1
-1.370741482965932e0	3.875859117864433e-2	1.7e1
-1.3667334669338678e0	6.087159188933189e-2	1.7e1
-1.3627254509018036e0	1.3957491725916427e-1	1.7e1
-1.3587174348697395e0	-3.632398402259995e-2	1.7e1
-1.3547094188376754e0	-2.7503258480065407e-2	1.7e1
-1.3507014028056112e0	-1.6233393797546847e-2	1.7e1
-1.3466933867735473e0	-1.4275574736027336e-2	1.7e1
-1.342685370741483e0	-1.3454342034947192e-2	1.7e1
-1.3386773547094188e0	-5.636265125067475e-3	1.7e1
-1.3346693386773547e0	-5.412761148487429e-3	1.7e1
-1.3306613226452906e0	-5.209988953591486e-3	1.7e1
-1.3266533066132264e0	-3.8946864827956885e-3	1.7e1
-1.3226452905811623e0	-4.536051466380087e-3	1.7e1
-1.3186372745490984e0	-4.403425572361036e-3	1.7e1
-1.314629258517034e0	-4.2808839160725105e-3	1.7e1
-1.31062124248497e0	-3.151587072193026e-3	1.7e1
-1.3066132264529058e0	-3.0977226231186745e-3	1.7e1
-1.3026052104208417e0	-2.9313837541918124e-3	1.7e1
-1.2985971943887777e0	-2.8881519066205966e-3	1.7e1
-1.2945891783567134e0	-2.4796751680564227e-3	1.7e1
-1.2905811623246495e0	-2.4532618850440662e-3	1.7e1
-1.2865731462925851e0	-2.4282136627295278e-3	1.7e1
-1.282565130260521e0	-2.2625417477197484e-3	1.7e1
-1.2785571142284569e0	-2.2437403634371147e-3	1.7e1
-1.274549098196393e0	-2.2259129961714635e-3	1.7e1
-1.2705410821643288e0	-2.00356299825436e-3	1.7e1
-1.2665330661322645e0	-1.992199466566324e-3	1.7e1
-1.2625250501002006e0	-1.9299938720766685e-3	1.7e1
